Iteration 0: x=34.15200053553391, y=-77.86681806446609, yaw=0.7853981633619211, v=0.0005, target_speed=0.05, steer_angle=0.0, target_waypoint=[ 34.152097  -77.8667216]
Iteration 82: x=34.155150144467584, y=-77.86366845553347, yaw=0.7853981632255962, v=0.0071118993238354095, target_speed=0.01, steer_angle=-9.424777960768232, target_waypoint=[ 34.152097  -77.8667216]
Iteration 83: x=34.15520063740954, y=-77.86361796259153, yaw=0.7853981632255181, v=0.007140780330597055, target_speed=0.01, steer_angle=9.424777960768287, target_waypoint=[ 34.152097  -77.8667216]
Iteration 84: x=34.15525133252886, y=-77.86356726747223, yaw=0.7853981632253204, v=0.007169372527291084, target_speed=0.01, steer_angle=9.424777960766622, target_waypoint=[ 34.152097  -77.8667216]
Iteration 85: x=34.155302227803766, y=-77.86351637219735, yaw=0.785398163225035, v=0.007197678802018173, target_speed=0.01, steer_angle=9.424777960765415, target_waypoint=[ 34.152097  -77.8667216]
Iteration 86: x=34.1553533212327, y=-77.86346527876843, yaw=0.7853981632246865, v=0.007225702013997992, target_speed=0.01, steer_angle=9.424777960764557, target_waypoint=[ 34.152097  -77.8667216]
Iteration 87: x=34.15540461083413, y=-77.86341398916701, yaw=0.7853981632245318, v=0.007253444993858012, target_speed=0.01, steer_angle=9.424777960767248, target_waypoint=[ 34.152097  -77.8667216]
Iteration 88: x=34.15545609464633, y=-77.86336250535483, yaw=0.7853981632245287, v=0.007280910543919432, target_speed=0.01, steer_angle=9.424777960769337, target_waypoint=[ 34.152097  -77.8667216]
Iteration 89: x=34.15550777072719, y=-77.86331082927398, yaw=0.7853981632246436, v=0.007308101438480237, target_speed=0.01, steer_angle=-9.424777960767807, target_waypoint=[ 34.152097  -77.8667216]
Iteration 90: x=34.15555963715402, y=-77.86325896284717, yaw=0.78539816322485, v=0.007335020424095435, target_speed=0.01, steer_angle=-9.424777960766566, target_waypoint=[ 34.152097  -77.8667216]
Iteration 91: x=34.15561169202336, y=-77.86320690797784, yaw=0.785398163225127, v=0.007361670219854481, target_speed=0.01, steer_angle=-9.424777960765617, target_waypoint=[ 34.152097  -77.8667216]
Iteration 92: x=34.155663933450796, y=-77.86315466655043, yaw=0.785398163225458, v=0.007388053517655936, target_speed=0.01, steer_angle=-9.4247779607649, target_waypoint=[ 34.152097  -77.8667216]
Iteration 93: x=34.15571635957073, y=-77.8631022404305, yaw=0.7853981632256084, v=0.007414172982479377, target_speed=0.01, steer_angle=-9.42477796076735, target_waypoint=[ 34.152097  -77.8667216]
Iteration 94: x=34.15576896853625, y=-77.863049631465, yaw=0.7853981632258413, v=0.007440031252654583, target_speed=0.01, steer_angle=-9.42477796076625, target_waypoint=[ 34.152097  -77.8667216]
Iteration 95: x=34.1558217585189, y=-77.86299684148237, yaw=0.7853981632261376, v=0.007465630940128037, target_speed=0.01, steer_angle=-9.424777960765411, target_waypoint=[ 34.152097  -77.8667216]
Iteration 96: x=34.1558747277085, y=-77.86294387229279, yaw=0.785398163226482, v=0.0074909746307267565, target_speed=0.01, steer_angle=-9.424777960764782, target_waypoint=[ 34.152097  -77.8667216]
Iteration 97: x=34.15592787431299, y=-77.86289072568832, yaw=0.7853981632266506, v=0.007516064884419489, target_speed=0.01, steer_angle=-9.424777960767138, target_waypoint=[ 34.152097  -77.8667216]
Iteration 98: x=34.15598119655821, y=-77.86283740344311, yaw=0.7853981632268962, v=0.007540904235575295, target_speed=0.01, steer_angle=-9.424777960766123, target_waypoint=[ 34.152097  -77.8667216]
Iteration 99: x=34.15603469268776, y=-77.86278390731357, yaw=0.7853981632272005, v=0.007565495193219542, target_speed=0.01, steer_angle=-9.424777960765358, target_waypoint=[ 34.152097  -77.8667216]
Iteration 100: x=34.1560883609628, y=-77.86273023903856, yaw=0.7853981632275489, v=0.0075898402412873465, target_speed=0.01, steer_angle=-9.42477796076479, target_waypoint=[ 34.152097  -77.8667216]
Iteration 101: x=34.156142199661865, y=-77.86267640033951, yaw=0.785398163227727, v=0.007613941838874473, target_speed=0.01, steer_angle=-9.42477796076704, target_waypoint=[ 34.152097  -77.8667216]
Iteration 102: x=34.156196207080725, y=-77.86262239292067, yaw=0.785398163227777, v=0.007637802420485729, target_speed=0.01, steer_angle=-9.424777960768726, target_waypoint=[ 34.152097  -77.8667216]
Iteration 103: x=34.156250381532175, y=-77.86256821846924, yaw=0.7853981632277314, v=0.007661424396280871, target_speed=0.01, steer_angle=9.424777960768784, target_waypoint=[ 34.152097  -77.8667216]
Iteration 104: x=34.15630472134589, y=-77.86251387865553, yaw=0.7853981632278125, v=0.007684810152318062, target_speed=0.01, steer_angle=-9.424777960768324, target_waypoint=[ 34.152097  -77.8667216]
Iteration 105: x=34.156359224868254, y=-77.86245937513318, yaw=0.7853981632279904, v=0.007707962050794882, target_speed=0.01, steer_angle=-9.424777960767072, target_waypoint=[ 34.152097  -77.8667216]
Iteration 106: x=34.156413890462176, y=-77.86240470953928, yaw=0.7853981632282417, v=0.007730882430286933, target_speed=0.01, steer_angle=-9.424777960766129, target_waypoint=[ 34.152097  -77.8667216]
Iteration 107: x=34.156468716506936, y=-77.86234988349453, yaw=0.7853981632285485, v=0.007753573605984064, target_speed=0.01, steer_angle=-9.424777960765423, target_waypoint=[ 34.152097  -77.8667216]
Iteration 108: x=34.15652370139803, y=-77.86229489860345, yaw=0.7853981632288967, v=0.007776037869924223, target_speed=0.01, steer_angle=-9.424777960764903, target_waypoint=[ 34.152097  -77.8667216]
Iteration 109: x=34.156578843546995, y=-77.8622397564545, yaw=0.7853981632292752, v=0.007798277491224981, target_speed=0.01, steer_angle=-9.424777960764525, target_waypoint=[ 34.152097  -77.8667216]
Iteration 110: x=34.156634141381254, y=-77.86218445862026, yaw=0.7853981632296759, v=0.007820294716312732, target_speed=0.01, steer_angle=-9.424777960764256, target_waypoint=[ 34.152097  -77.8667216]
Iteration 111: x=34.15668959334395, y=-77.86212900665758, yaw=0.7853981632299082, v=0.007842091769149604, target_speed=0.01, steer_angle=-9.424777960766418, target_waypoint=[ 34.152097  -77.8667216]
Iteration 112: x=34.1567451978938, y=-77.86207340210775, yaw=0.7853981632301964, v=0.007863670851458109, target_speed=0.01, steer_angle=-9.424777960765715, target_waypoint=[ 34.152097  -77.8667216]
Iteration 113: x=34.156800953504934, y=-77.86201764649664, yaw=0.7853981632303455, v=0.007885034142943528, target_speed=0.01, steer_angle=-9.42477796076749, target_waypoint=[ 34.152097  -77.8667216]
Iteration 114: x=34.156856858666735, y=-77.86196174133485, yaw=0.7853981632303906, v=0.007906183801514092, target_speed=0.01, steer_angle=-9.42477796076881, target_waypoint=[ 34.152097  -77.8667216]
Iteration 115: x=34.1569129118837, y=-77.8619056881179, yaw=0.7853981632305364, v=0.007927121963498951, target_speed=0.01, steer_angle=-9.42477796076754, target_waypoint=[ 34.152097  -77.8667216]
Iteration 116: x=34.15696911167528, y=-77.86184948832634, yaw=0.7853981632307577, v=0.007947850743863961, target_speed=0.01, steer_angle=-9.424777960766594, target_waypoint=[ 34.152097  -77.8667216]
Iteration 117: x=34.157025456575724, y=-77.86179314342591, yaw=0.7853981632308616, v=0.007968372236425322, target_speed=0.01, steer_angle=-9.424777960768076, target_waypoint=[ 34.152097  -77.8667216]
Iteration 118: x=34.157081945133946, y=-77.86173665486771, yaw=0.7853981632310509, v=0.007988688514061069, target_speed=0.01, steer_angle=-9.42477796076701, target_waypoint=[ 34.152097  -77.8667216]
Iteration 119: x=34.157138575913365, y=-77.86168002408832, yaw=0.7853981632311329, v=0.008008801628920459, target_speed=0.01, steer_angle=-9.424777960768356, target_waypoint=[ 34.152097  -77.8667216]
Iteration 120: x=34.15719534749177, y=-77.86162325250993, yaw=0.7853981632311353, v=0.008028713612631255, target_speed=0.01, steer_angle=-9.42477796076935, target_waypoint=[ 34.152097  -77.8667216]
Iteration 121: x=34.15725225846118, y=-77.86156634154054, yaw=0.7853981632310796, v=0.008048426476504942, target_speed=0.01, steer_angle=9.424777960768687, target_waypoint=[ 34.152097  -77.8667216]
Iteration 122: x=34.15730930742767, y=-77.86150929257407, yaw=0.7853981632311486, v=0.008067942211739893, target_speed=0.01, steer_angle=-9.424777960768523, target_waypoint=[ 34.152097  -77.8667216]
Iteration 123: x=34.157366493011274, y=-77.86145210699048, yaw=0.785398163231146, v=0.008087262789622494, target_speed=0.01, steer_angle=9.424777960769347, target_waypoint=[ 34.152097  -77.8667216]
Iteration 124: x=34.157423813845824, y=-77.86139478615596, yaw=0.7853981632310909, v=0.00810639016172627, target_speed=0.01, steer_angle=9.4247779607687, target_waypoint=[ 34.152097  -77.8667216]
Iteration 125: x=34.15748126857881, y=-77.86133733142299, yaw=0.7853981632309982, v=0.008125326260109006, target_speed=0.01, steer_angle=9.424777960768239, target_waypoint=[ 34.152097  -77.8667216]
Iteration 126: x=34.15753885587125, y=-77.86127974413057, yaw=0.785398163230879, v=0.008144072997507915, target_speed=0.01, steer_angle=9.424777960767916, target_waypoint=[ 34.152097  -77.8667216]
Iteration 127: x=34.15759657439755, y=-77.86122202560429, yaw=0.7853981632307417, v=0.008162632267532836, target_speed=0.01, steer_angle=9.424777960767699, target_waypoint=[ 34.152097  -77.8667216]
Iteration 128: x=34.15765442284537, y=-77.8611641771565, yaw=0.7853981632305927, v=0.008181005944857508, target_speed=0.01, steer_angle=9.424777960767559, target_waypoint=[ 34.152097  -77.8667216]
Iteration 129: x=34.15771239991549, y=-77.8611062000864, yaw=0.7853981632304368, v=0.008199195885408933, target_speed=0.01, steer_angle=9.424777960767477, target_waypoint=[ 34.152097  -77.8667216]
Iteration 130: x=34.15777050432169, y=-77.86104809568022, yaw=0.7853981632302773, v=0.008217203926554844, target_speed=0.01, steer_angle=9.42477796076744, target_waypoint=[ 34.152097  -77.8667216]
Iteration 131: x=34.157828734790606, y=-77.86098986521132, yaw=0.785398163230117, v=0.008235031887289296, target_speed=0.01, steer_angle=9.424777960767432, target_waypoint=[ 34.152097  -77.8667216]
Iteration 132: x=34.157887090061614, y=-77.86093150994033, yaw=0.7853981632299578, v=0.008252681568416404, target_speed=0.01, steer_angle=9.42477796076745, target_waypoint=[ 34.152097  -77.8667216]
Iteration 133: x=34.157945568886696, y=-77.86087303111526, yaw=0.7853981632299533, v=0.00827015475273224, target_speed=0.01, steer_angle=9.424777960769324, target_waypoint=[ 34.152097  -77.8667216]
Iteration 134: x=34.15800417003031, y=-77.86081442997167, yaw=0.7853981632300642, v=0.008287453205204917, target_speed=0.01, steer_angle=-9.424777960768042, target_waypoint=[ 34.152097  -77.8667216]
Iteration 135: x=34.158062892269264, y=-77.86075570773274, yaw=0.7853981632301111, v=0.008304578673152868, target_speed=0.01, steer_angle=-9.424777960768814, target_waypoint=[ 34.152097  -77.8667216]
Iteration 136: x=34.158121734392616, y=-77.86069686560941, yaw=0.7853981632301114, v=0.00832153288642134, target_speed=0.01, steer_angle=-9.424777960769378, target_waypoint=[ 34.152097  -77.8667216]
Iteration 137: x=34.15818069520151, y=-77.86063790480054, yaw=0.7853981632299302, v=0.008338317557557127, target_speed=0.01, steer_angle=9.424777960767207, target_waypoint=[ 34.152097  -77.8667216]
Iteration 138: x=34.158239773509095, y=-77.86057882649297, yaw=0.7853981632297632, v=0.008354934381981555, target_speed=0.01, steer_angle=9.424777960767381, target_waypoint=[ 34.152097  -77.8667216]
Iteration 139: x=34.158298968140386, y=-77.86051963186169, yaw=0.7853981632297535, v=0.00837138503816174, target_speed=0.01, steer_angle=9.424777960769264, target_waypoint=[ 34.152097  -77.8667216]
